zoo_sciName,mamPhy_tiplabel,synonym,synonymNotes,synonymLink,zoo_SourceCode,zoo_Source,zoo_Accession,zoo_IUCN,zoo_Common Name,zoo_Order,zoo_Family,zoo_subspecies
Mus_pahari,Mus_pahari_MURIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCA_900095145.2,LC,Shrew mouse,RODENTIA,Muridae,NA
Mus_spretus,Mus_spretus_MURIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCA_001624865.1,LC,Western wild mouse,RODENTIA,Muridae,NA
Muscardinus_avellanarius,Muscardinus_avellanarius_GLIRIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004027005.1,LC,Hazel dormouse,RODENTIA,Gliridae,NA
Mustela_putorius,Mustela_putorius_MUSTELIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCF_000239315.1,LC,Domestic ferret,CARNIVORA,Mustelidae,NA
Myocastor_coypus,Myocastor_coypus_MYOCASTORIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004027025.1,LC,Coypu,RODENTIA,Myocastoridae,NA
Myotis_brandtii,Myotis_brandtii_VESPERTILIONIDAE_CHIROPTERA,0,NA,NA,2,2. Existing assembly,GCF_000412655.1,LC,Brandt's bat,CHIROPTERA,Vespertilionidae,NA
Myotis_davidii,Myotis_davidii_VESPERTILIONIDAE_CHIROPTERA,0,NA,NA,2,2. Existing assembly,GCF_000327345.1,LC,Bats,CHIROPTERA,Vespertilionidae,NA
Myotis_lucifugus,Myotis_lucifugus_VESPERTILIONIDAE_CHIROPTERA,0,NA,NA,2,2. Existing assembly,GCF_000147115.1,LC,Little brown bat,CHIROPTERA,Vespertilionidae,NA
Myotis_myotis,Myotis_myotis_VESPERTILIONIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004026985.1,LC,Greater mouse-eared bat,CHIROPTERA,Vespertilionidae,NA
Myrmecophaga_tridactyla,Myrmecophaga_tridactyla_MYRMECOPHAGIDAE_PILOSA,0,NA,NA,1,1. Zoonomia,GCA_004026745.1,VU,Giant anteater,PILOSA,Myrmecophagidae,NA
Nannospalax_galili,Spalax_ehrenbergi_SPALACIDAE_RODENTIA,1,"galili is a synonym of N. ehrenbergi, moved to Nannospalax from Spalax",https://www.mammaldiversity.org/explore.html#genus=Nannospalax&species=ehrenbergi&id=1003793,2,2. Existing assembly,GCF_000622305.1,DD,Upper galilee mountains blind mole rat,RODENTIA,Spalacidae,NA
Nasalis_larvatus,Nasalis_larvatus_CERCOPITHECIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004027105.1,EN,Proboscis monkey,PRIMATES,Cercopithecidae,NA
Neomonachus_schauinslandi,Neomonachus_schauinslandi_PHOCIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCA_002201575.1,EN,Hawaiian monk seal,CARNIVORA,Phocidae,NA
Neophocaena_asiaeorientalis,Neophocaena_asiaeorientalis_PHOCOENIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCA_003031525.1,EN,Yangtze finless porpoise,CETARTIODACTYLA,Phocoenidae,NA
Noctilio_leporinus,Noctilio_leporinus_NOCTILIONIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004026585.1,LC,Greater bulldog bat,CHIROPTERA,Noctilionidae,NA
Nomascus_leucogenys,Nomascus_leucogenys_HYLOBATIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCF_000146795.2,CR,Northern white-cheeked gibbon,PRIMATES,Hylobatidae,NA
Nycticebus_coucang,Nycticebus_coucang_LORISIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004027815.1,VU,Sunda slow loris,PRIMATES,Lorisidae,NA
Nycticeius_humeralis,Nycticeius_humeralis_VESPERTILIONIDAE_CHIROPTERA,0,NA,NA,3,3. Zoonomia (not in alignment),GCA_007922795.1,LC,Egyptian slit-faced bat,CHIROPTERA,Vespertilionidae,NA
Ochotona_princeps,Ochotona_princeps_OCHOTONIDAE_LAGOMORPHA,0,NA,NA,2,2. Existing assembly,GCF_000292845.1,LC,American pika,LAGOMORPHA,Ochotonidae,NA
Octodon_degus,Octodon_degus_OCTODONTIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCF_000260255.1,LC,Degu,RODENTIA,Octodontidae,NA
Odobenus_rosmarus,Odobenus_rosmarus_ODOBENIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCF_000321225.1,DD,Pacific walrus,CARNIVORA,Odobenidae,NA
Odocoileus_virginianus,Odocoileus_virginianus_CERVIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCA_002102435.1,LC,White-tailed deer,CETARTIODACTYLA,Cervidae,NA
Okapia_johnstoni,Okapia_johnstoni_GIRAFFIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCA_001660835.1,EN,Okapi,CETARTIODACTYLA,Giraffidae,NA
Ondatra_zibethicus,Ondatra_zibethicus_CRICETIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004026605.1,LC,Muskrat,RODENTIA,Cricetidae,NA
Onychomys_torridus,Onychomys_torridus_CRICETIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004026725.1,LC,Scorpion mouse,RODENTIA,Cricetidae,NA
Orcinus_orca,Orcinus_orca_DELPHINIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCF_000331955.2,DD,Killer whale,CETARTIODACTYLA,Delphinidae,NA
Orycteropus_afer,Orycteropus_afer_ORYCTEROPODIDAE_TUBULIDENTATA,0,NA,NA,1,1. Zoonomia,GCA_004365145.1,LC,Aardvark,TUBULIDENTATA,Orycteropodidae,NA
Oryctolagus_cuniculus,Oryctolagus_cuniculus_LEPORIDAE_LAGOMORPHA,0,NA,NA,2,2. Existing assembly,GCF_000003625.3,NT,Rabbit,LAGOMORPHA,Leporidae,NA
Otolemur_garnettii,Otolemur_garnettii_GALAGIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCF_000181295.1,LC,Small-eared galago,PRIMATES,Galagidae,NA
Ovis_aries,Ovis_aries_BOVIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCF_000298735.2,LC,Sheep,CETARTIODACTYLA,Bovidae,NA
Ovis_canadensis,Ovis_canadensis_BOVIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004026945.1,EN,Peninsular bighorn sheep,CETARTIODACTYLA,Bovidae,cremnobates
Pan_paniscus,Pan_paniscus_HOMINIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCF_000258655.2,EN,Pygmy chimpanzee,PRIMATES,Hominidae,NA
Pan_troglodytes,Pan_troglodytes_HOMINIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCA_002880755.3,EN,Chimpanzee,PRIMATES,Hominidae,NA
Panthera_onca,Panthera_onca_FELIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004023805.1,NT,Jaguar,CARNIVORA,Felidae,NA
Panthera_pardus,Panthera_pardus_FELIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCA_001857705.1,VU,Leopard,CARNIVORA,Felidae,NA
Panthera_tigris,Panthera_tigris_FELIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCF_000464555.1,EN,Amur tiger,CARNIVORA,Felidae,NA
Pantholops_hodgsonii,Pantholops_hodgsonii_BOVIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCF_000400835.1,NT,Chiru,CETARTIODACTYLA,Bovidae,NA
Papio_anubis,Papio_anubis_CERCOPITHECIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCA_000264685.2,LC,Olive baboon,PRIMATES,Cercopithecidae,NA
Paradoxurus_hermaphroditus,Paradoxurus_hermaphroditus_VIVERRIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004024585.1,LC,Asian palm civet,CARNIVORA,Viverridae,NA
Pedetes_capensis,Pedetes_capensis_PEDETIDAE_RODENTIA,0,NA,NA,3,3. Zoonomia (not in alignment),GCA_007922755.1,LC,South African springhare,RODENTIA,Pedetidae,NA
Perognathus_longimembris,Perognathus_longimembris_HETEROMYIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004363475.1,LC,Pacific pocket mouse,RODENTIA,Heteromyidae,pacificus
Peromyscus_maniculatus,Peromyscus_maniculatus_CRICETIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCF_000500345.1,LC,Prairie deer mouse,RODENTIA,Cricetidae,NA
Petromus_typicus,Petromus_typicus_PETROMURIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004026965.1,LC,Dassie rat,RODENTIA,Petromuridae,NA
Phocoena_phocoena,Phocoena_phocoena_PHOCOENIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004363495.1,LC,Harbor porpoise,CETARTIODACTYLA,Phocoenidae,NA
Piliocolobus_tephrosceles,Procolobus_rufomitratus_CERCOPITHECIDAE_PRIMATES,1,"Grubb et al. (2013) placed tephrosceles as a subspecies of rufomitratus, and in the subgenus Procolobus",https://www.iucnredlist.org/species/18256/171760021,2,2. Existing assembly,GCA_002776525.1,EN,Ugandan red colobus,PRIMATES,Cercopithecidae,NA
Pipistrellus_pipistrellus,Pipistrellus_pipistrellus_VESPERTILIONIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004026625.1,LC,Common pipistrelle,CHIROPTERA,Vespertilionidae,NA
Pithecia_pithecia,Pithecia_pithecia_PITHECIIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004026645.1,LC,White-faced saki,PRIMATES,Pitheciidae,NA
Platanista_gangetica,Platanista_gangetica_PLATANISTIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004363435.1,EN,Indus river dolphin,CETARTIODACTYLA,Platanistidae,minor
Pongo_abelii,Pongo_abelii_HOMINIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCA_002880775.3,CR,Sumatran orangutan,PRIMATES,Hominidae,NA
Pontoporia_blainvillei,Pontoporia_blainvillei_INIIDAE_CETARTIODACTYLA,0,NA,NA,3,3. Zoonomia (not in alignment),GCA_004363935.1,VU,La plata dolphin,CETARTIODACTYLA,Iniidae,NA
Procavia_capensis,Procavia_capensis_PROCAVIIDAE_HYRACOIDEA,0,NA,NA,1,1. Zoonomia,GCA_004026925.1,LC,South African rock hyrax,HYRACOIDEA,Procaviidae,NA
Propithecus_coquereli,Propithecus_coquereli_INDRIIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCF_000956105.1,EN,Coquerel's sifaka,PRIMATES,Indridae,NA
Psammomys_obesus,Psammomys_obesus_MURIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCA_002215935.1,LC,Fat sand rat,RODENTIA,Muridae,NA
Pteronotus_parnellii,Pteronotus_parnellii_MORMOOPIDAE_CHIROPTERA,0,NA,NA,2,2. Existing assembly,GCA_000465405.1,LC,Parnell's mustached bat,CHIROPTERA,Mormoopidae,NA
Pteronura_brasiliensis,Pteronura_brasiliensis_MUSTELIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004024605.1,EN,Giant otter,CARNIVORA,Mustelidae,NA
Pteropus_alecto,Pteropus_alecto_PTEROPODIDAE_CHIROPTERA,0,NA,NA,2,2. Existing assembly,GCF_000325575.1,LC,Black flying fox,CHIROPTERA,Pteropodidae,NA
Pteropus_vampyrus,Pteropus_vampyrus_PTEROPODIDAE_CHIROPTERA,0,NA,NA,2,2. Existing assembly,GCF_000151845.1,NT,Large flying fox,CHIROPTERA,Pteropodidae,NA
Puma_concolor,Puma_concolor_FELIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCF_003327715.1,LC,Puma,CARNIVORA,Felidae,NA
Pygathrix_nemaeus,Pygathrix_nemaeus_CERCOPITHECIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004024825.1,EN,Red-shanked douc,PRIMATES,Cercopithecidae,NA
Rangifer_tarandus,Rangifer_tarandus_CERVIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004026565.1,VU,Siberian reindeer,CETARTIODACTYLA,Cervidae,NA
Rattus_norvegicus,Rattus_norvegicus_MURIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCF_000001895.5,LC,Norway rat,RODENTIA,Muridae,NA
Rhinolophus_ferrumequinum,Rhinolophus_ferrumequinum_RHINOLOPHIDAE_CHIROPTERA,0,NA,NA,3,3. Zoonomia (not in alignment),GCA_007922735.1,LC,Greater horseshoe bat,CHIROPTERA,Rhinolophidae,NA
Rhinolophus_sinicus,Rhinolophus_sinicus_RHINOLOPHIDAE_CHIROPTERA,0,NA,NA,2,2. Existing assembly,GCA_001888835.1,LC,Chinese rufous horseshoe bat,CHIROPTERA,Rhinolophidae,NA
Rhinopithecus_bieti,Rhinopithecus_bieti_CERCOPITHECIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCF_001698545.1,EN,Black snub-nosed monkey,PRIMATES,Cercopithecidae,NA
Rhinopithecus_roxellana,Rhinopithecus_roxellana_CERCOPITHECIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCF_000769185.1,EN,Golden snub-nosed monkey,PRIMATES,Cercopithecidae,NA
Rhizomys_pruinosus,Rhizomys_pruinosus_SPALACIDAE_RODENTIA,0,NA,NA,3,3. Zoonomia (not in alignment),GCA_004026225.1,LC,Hoary bamboo rat,RODENTIA,Spalacidae,NA
Rousettus_aegyptiacus,Rousettus_aegyptiacus_PTEROPODIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004024865.1,LC,Egyptian fruit bat,CHIROPTERA,Pteropodidae,NA
Saguinus_imperator,Saguinus_imperator_CALLITRICHIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004024885.1,LC,Emperor tamarin,PRIMATES,Cebidae,NA
Saiga_tatarica,Saiga_tatarica_BOVIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004024985.1,CR,Russian saiga,CETARTIODACTYLA,Bovidae,tatarica
Saimiri_boliviensis,Saimiri_boliviensis_CEBIDAE_PRIMATES,0,NA,NA,2,2. Existing assembly,GCF_000235385.1,LC,Bolivian squirrel monkey,PRIMATES,Cebidae,NA
Scalopus_aquaticus,Scalopus_aquaticus_TALPIDAE_EULIPOTYPHLA,0,NA,NA,1,1. Zoonomia,GCA_004024925.1,LC,Eastern mole,EULIPOTYPHLA,Talpidae,NA
Semnopithecus_entellus,Semnopithecus_entellus_CERCOPITHECIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004025065.1,LC,Northern Plains gray langur,PRIMATES,Cercopithecidae,NA
Sigmodon_hispidus,Sigmodon_hispidus_CRICETIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004025045.1,LC,Hispid cotton rat,RODENTIA,Cricetidae,NA
Solenodon_paradoxus,Solenodon_paradoxus_SOLENODONTIDAE_EULIPOTYPHLA,0,NA,NA,1,1. Zoonomia,GCA_004363575.1,EN,Hispaniolan solenodon,EULIPOTYPHLA,Solenodontidae,NA
Sorex_araneus,Sorex_araneus_SORICIDAE_EULIPOTYPHLA,0,NA,NA,2,2. Existing assembly,GCF_000181275.1,LC,European shrew,EULIPOTYPHLA,Soricidae,NA
Spermophilus_dauricus,Spermophilus_dauricus_SCIURIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCA_002406435.1,LC,Daurian ground squirrel,RODENTIA,Sciuridae,NA
Spilogale_gracilis,Spilogale_gracilis_MEPHITIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004023965.1,LC,Western spotted skunk,CARNIVORA,Mephitidae,NA
Suricata_suricatta,Suricata_suricatta_HERPESTIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004023905.1,LC,Meerkat,CARNIVORA,Herpestidae,NA
Sus_scrofa,Sus_scrofa_SUIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCF_000003025.5,LC,Pig,CETARTIODACTYLA,Suidae,NA
Tadarida_brasiliensis,Tadarida_brasiliensis_MOLOSSIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004025005.1,LC,Mexican free-tailed bat,CHIROPTERA,Molossidae,NA
Tamandua_tetradactyla,Tamandua_tetradactyla_MYRMECOPHAGIDAE_PILOSA,0,NA,NA,1,1. Zoonomia,GCA_004025105.1,LC,Southern tamandua,PILOSA,Myrmecophagidae,NA
Tapirus_indicus,Tapirus_indicus_TAPIRIDAE_PERISSODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004024905.1,EN,Malayan tapir,PERISSODACTYLA,Tapiridae,NA
Tapirus_terrestris,Tapirus_terrestris_TAPIRIDAE_PERISSODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004025025.1,VU,South American tapir,PERISSODACTYLA,Tapiridae,NA
Thryonomys_swinderianus,Thryonomys_swinderianus_THRYONOMYIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004025085.1,LC,Greater cane rat,RODENTIA,Thryonomyidae,NA
Tolypeutes_matacus,Tolypeutes_matacus_DASYPODIDAE_CINGULATA,0,NA,NA,1,1. Zoonomia,GCA_004025125.1,NT,Southern three-banded armadillo,CINGULATA,Dasypodidae,NA
Tonatia_saurophila,Tonatia_saurophila_PHYLLOSTOMIDAE_CHIROPTERA,0,NA,NA,1,1. Zoonomia,GCA_004024845.1,LC,Stripe-headed round-eared bat,CHIROPTERA,Phyllostomidae,NA
Tragulus_javanicus,Tragulus_javanicus_TRAGULIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004024965.1,DD,Java lesser chevrotain,CETARTIODACTYLA,Tragulidae,NA
Trichechus_manatus,Trichechus_manatus_TRICHECHIDAE_SIRENIA,0,NA,NA,2,2. Existing assembly,GCF_000243295.1,EN,Florida manatee,SIRENIA,Trichechidae,NA
Tupaia_belangeri,Tupaia_belangeri_TUPAIIDAE_SCANDENTIA,0,NA,NA,2,2. Existing assembly,GCF_000334495.1,LC,Northern tree shrew,SCANDENTIA,Tupaiidae,chinensis
Tupaia_tana,Tupaia_tana_TUPAIIDAE_SCANDENTIA,0,NA,NA,1,1. Zoonomia,GCA_004365275.1,LC,Large treeshrew,SCANDENTIA,Tupaiidae,NA
Tursiops_truncatus,Tursiops_truncatus_DELPHINIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCA_001922835.1,LC,Bottlenose dolphin,CETARTIODACTYLA,Delphinidae,NA
Uropsilus_gracilis,Uropsilus_gracilis_TALPIDAE_EULIPOTYPHLA,0,NA,NA,1,1. Zoonomia,GCA_004024945.1,LC,Gracile shrew-like mole,EULIPOTYPHLA,Talpidae,NA
Ursus_maritimus,Ursus_maritimus_URSIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCF_000687225.1,VU,Polar bear,CARNIVORA,Ursidae,NA
Vicugna_pacos,Vicugna_pacos_CAMELIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCA_000767525.1,LC,Alpaca,CETARTIODACTYLA,Camelidae,NA
Vulpes_lagopus,Vulpes_lagopus_CANIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004023825.1,LC,Arctic fox,CARNIVORA,Canidae,NA
Xerus_inauris,Xerus_inauris_SCIURIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004024805.1,LC,Cape ground squirrel,RODENTIA,Sciuridae,NA
Zalophus_californianus,Zalophus_californianus_OTARIIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004024565.1,LC,California sea lion,CARNIVORA,Otariidae,NA
Zapus_hudsonius,Zapus_hudsonius_DIPODIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004024765.1,LC,Meadow jumping mouse,RODENTIA,Dipodidae,NA
Ziphius_cavirostris,Ziphius_cavirostris_ZIPHIIDAE_CETARTIODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004364475.1,LC,Cuvier's beaked whale,CETARTIODACTYLA,Ziphiidae,NA
