zoo_sciName,mamPhy_tiplabel,synonym,synonymNotes,synonymLink,zoo_SourceCode,zoo_Source,zoo_Accession,zoo_IUCN,zoo_Common Name,zoo_Order,zoo_Family,zoo_subspecies
Crocidura_indochinensis,Crocidura_indochinensis_SORICIDAE_EULIPOTYPHLA,0,NA,NA,1,1. Zoonomia,GCA_004027635.1,LC,Indochinese shrew,EULIPOTYPHLA,Soricidae,NA
Cryptoprocta_ferox,Cryptoprocta_ferox_EUPLERIDAE_CARNIVORA,0,NA,NA,1,1. Zoonomia,GCA_004023885.1,VU,Fossa,CARNIVORA,Eupleridae,NA
Ctenodactylus_gundi,Ctenodactylus_gundi_CTENODACTYLIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004027205.1,LC,Common gundi,RODENTIA,Ctenodactylidae,NA
Ctenomys_sociabilis,Ctenomys_sociabilis_CTENOMYIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004027165.1,CR,Social tuco-tuco,RODENTIA,Ctenomyidae,NA
Cuniculus_paca,Cuniculus_paca_CUNICULIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004365215.1,LC,Lowland paca,RODENTIA,Cuniculidae,NA
Dasyprocta_punctata,Dasyprocta_punctata_DASYPROCTIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004363535.1,LC,Central American agouti,RODENTIA,Dasyproctidae,NA
Dasypus_novemcinctus,Dasypus_novemcinctus_DASYPODIDAE_CINGULATA,0,NA,NA,2,2. Existing assembly,GCF_000208655.1,LC,Nine-banded armadillo,CINGULATA,Dasypodidae,NA
Daubentonia_madagascariensis,Daubentonia_madagascariensis_DAUBENTONIIDAE_PRIMATES,0,NA,NA,1,1. Zoonomia,GCA_004027145.1,EN,Aye-aye,PRIMATES,Daubentoniidae,NA
Delphinapterus_leucas,Delphinapterus_leucas_MONODONTIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCF_002288925.1,LC,Beluga whale,CETARTIODACTYLA,Monodontidae,NA
Desmodus_rotundus,Desmodus_rotundus_PHYLLOSTOMIDAE_CHIROPTERA,0,NA,NA,2,2. Existing assembly,GCA_002940915.2,LC,Common vampire bat,CHIROPTERA,Phyllostomidae,NA
Dicerorhinus_sumatrensis,Dicerorhinus_sumatrensis_RHINOCEROTIDAE_PERISSODACTYLA,0,NA,NA,2,2. Existing assembly,GCA_002844835.1,CR,Sumatran rhinoceros,PERISSODACTYLA,Rhinocerotidae,NA
Diceros_bicornis,Diceros_bicornis_RHINOCEROTIDAE_PERISSODACTYLA,0,NA,NA,1,1. Zoonomia,GCA_004027315.1,CR,Black rhinocerous,PERISSODACTYLA,Rhinocerotidae,NA
Dinomys_branickii,Dinomys_branickii_DINOMYIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004027595.1,LC,Pacarana,RODENTIA,Dinomyidae,NA
Dipodomys_ordii,Dipodomys_ordii_HETEROMYIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCF_000151885.1,LC,Ord's kangaroo rat,RODENTIA,Heteromyidae,NA
Dipodomys_stephensi,Dipodomys_stephensi_HETEROMYIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004024685.1,VU,Stephen's kangaroo rat,RODENTIA,Heteromyidae,NA
Dolichotis_patagonum,Dolichotis_patagonum_CAVIIDAE_RODENTIA,0,NA,NA,1,1. Zoonomia,GCA_004027295.1,NT,Patagonian mara,RODENTIA,Caviidae,NA
Echinops_telfairi,Echinops_telfairi_TENRECIDAE_AFROSORICIDA,0,NA,NA,2,2. Existing assembly,GCF_000313985.1,LC,Small madagascar hedgehog,AFROSORICIDA,Tenrecidae,NA
Eidolon_helvum,Eidolon_helvum_PTEROPODIDAE_CHIROPTERA,0,NA,NA,2,2. Existing assembly,GCA_000465285.1,NT,Straw-colored fruit bat,CHIROPTERA,Pteropodidae,NA
Elaphurus_davidianus,Elaphurus_davidianus_CERVIDAE_CETARTIODACTYLA,0,NA,NA,2,2. Existing assembly,GCA_002443075.1,CR,Pere david's deer,CETARTIODACTYLA,Cervidae,NA
Elephantulus_edwardii,Elephantulus_edwardii_MACROSCELIDIDAE_MACROSCELIDEA,0,NA,NA,1,1. Zoonomia,GCA_004027355.1,LC,Cape elephant shrew,MACROSCELIDEA,Macroscelididae,NA
Ellobius_lutescens,Ellobius_lutescens_CRICETIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCA_001685075.1,LC,Transcaucasian mole vole,RODENTIA,Cricetidae,NA
Ellobius_talpinus,Ellobius_talpinus_CRICETIDAE_RODENTIA,0,NA,NA,2,2. Existing assembly,GCA_001685095.1,LC,Northern mole vole,RODENTIA,Cricetidae,NA
Enhydra_lutris,Enhydra_lutris_MUSTELIDAE_CARNIVORA,0,NA,NA,2,2. Existing assembly,GCF_002288905.1,EN,Sea otter,CARNIVORA,Mustelidae,NA
Eptesicus_fuscus,Eptesicus_fuscus_VESPERTILIONIDAE_CHIROPTERA,0,NA,NA,2,2. Existing assembly,GCF_000308155.1,LC,Big brown bat,CHIROPTERA,Vespertilionidae,NA
Equus_asinus,Equus_africanus_EQUIDAE_PERISSODACTYLA,1,domestic form of E. africanus,https://www.mammaldiversity.org/explore.html#genus=Equus&species=asinus&id=1006121,2,2. Existing assembly,GCF_001305755.1,LC,Ass,PERISSODACTYLA,Equidae,NA
Equus_caballus,Equus_caballus_EQUIDAE_PERISSODACTYLA,0,NA,NA,2,2. Existing assembly,GCF_000002305.2,LC,Horse,PERISSODACTYLA,Equidae,NA
