sciName,tiplabel,GENUS,FAMILY,ORDER,MSW3_sciName_matched,genes,extinct.,samp,BM,BodyMass_imp.,BM_SourceDB,BM_Method,BM_Ref,latCat,latMids,Lat_centroid,Lon_centroid,lat_min,lat_max,lon_min,lon_max
Acomys_percivali,Acomys_percivali_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_percivali,2,0,sampled,0.022,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,1.905686,3.114825457,35.05900667,-1.636064,5.447436,31.6399,38.2003
Acomys_russatus,Acomys_russatus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_russatus,7,0,sampled,0.0498,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,23.0226095,22.38934049,39.7539049,12.591311,33.453908,30.762036,48.41578
Acomys_seurati,Acomys_seurati_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_seurati,0,0,imputed,0.0712,FALSE,FS2016,Assumed_isometric_based_on_skull_size,Isreal_Journal_of_Zoology_40:_215-246_(1994),0,24.2261665,24.32803802,6.707087816,21.622377,26.829956,3.420489,10.152337
Acomys_spinosissimus,Acomys_spinosissimus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_spinosissimus,2,0,sampled,0.0265,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-15.466014,-15.38832107,32.16957825,-25.788464,-5.143564,24.180123,38.8154
Acomys_subspinosus,Acomys_subspinosus_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_subspinosus,0,0,imputed,0.021,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,-32.667701,-33.49458897,20.17535262,-34.839764,-30.495638,17.845707,23.751933
Acomys_wilsoni,Acomys_wilsoni_MURIDAE_RODENTIA,Acomys,MURIDAE,RODENTIA,Acomys_wilsoni,2,0,sampled,0.0185,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,-0.875964,0.690848474,38.32401378,-8.074864,6.322936,31.2773,46.8305
Aconaemys_fuscus,Aconaemys_fuscus_OCTODONTIDAE_RODENTIA,Aconaemys,OCTODONTIDAE,RODENTIA,Aconaemys_fuscus,2,0,sampled,0.1335,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,-36.3398455,-38.00969717,-71.61951853,-37.80682,-34.872871,-71.824461,-70.238362
Aconaemys_porteri,Aconaemys_porteri_OCTODONTIDAE_RODENTIA,Aconaemys,OCTODONTIDAE,RODENTIA,Aconaemys_porteri,1,0,sampled,0.092,FALSE,FS2016,Reported,Global_Ecology_and_Biogeography_17:_274-283_(2008),2,-40.258924,-39.55625231,-71.81581023,-41.224258,-39.29359,-72.494874,-70.843369
Aconaemys_sagei,Aconaemys_sagei_OCTODONTIDAE_RODENTIA,Aconaemys,OCTODONTIDAE,RODENTIA,Aconaemys_sagei,2,0,sampled,0.0965,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),2,-39.110397,-39.40930511,-72.02984947,-40.434702,-37.786092,-73.482654,-70.728908
Acrobates_pygmaeus,Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA,Acrobates,ACROBATIDAE,DIPROTODONTIA,Acrobates_pygmaeus,21,0,sampled,0.012,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-24.916173,-28.52592177,147.8582025,-39.138939,-10.693407,140.641983,153.639236
Addax_nasomaculatus,Addax_nasomaculatus_BOVIDAE_CETARTIODACTYLA,Addax,BOVIDAE,CETARTIODACTYLA,Addax_nasomaculatus,4,0,sampled,70.0003,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,19.069533,17.41145591,7.711139011,15.638136,22.50093,-10.2202,17.3105
Aegialomys_galapagoensis,Aegialomys_galapagoensis_CRICETIDAE_RODENTIA,Aegialomys,CRICETIDAE,RODENTIA,NA,2,0,sampled,0.1155,FALSE,FS2016,Assumed_isometric_based_on_head-body_length,"Eisenberg_JF,_Redford_KH_Mammals_of_the_Neotropics_(Volume_3_):_The_Central_Neotropics:_Ecuador,_Peru,_Bolivia,_Brazil_(2000)",1,-0.819864,-0.825321018,-89.45364836,-0.953564,-0.686164,-90.0885,-89.2399
Aegialomys_xanthaeolus,Aegialomys_xanthaeolus_CRICETIDAE_RODENTIA,Aegialomys,CRICETIDAE,RODENTIA,NA,4,0,sampled,0.0798,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,-8.258814,-7.44461858,-78.32040074,-16.208064,-0.309564,-81.3267,-73.1334
Aepeomys_lugens,Aepeomys_lugens_CRICETIDAE_RODENTIA,Aepeomys,CRICETIDAE,RODENTIA,Aepeomys_lugens,1,0,sampled,0.037,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,8.371886,8.351624899,-71.32761852,7.656036,9.087736,-72.1637,-70.4514
Aepeomys_reigi,Aepeomys_reigi_CRICETIDAE_RODENTIA,Aepeomys,CRICETIDAE,RODENTIA,Aepeomys_reigi,0,0,imputed,0.0406,FALSE,FS2016,Reported,Mammalian_Biology_66:_228-237_(2001),1,9.453186,9.480997517,-69.97537984,8.947436,9.958936,-70.666,-69.2798
Aepyceros_melampus,Aepyceros_melampus_BOVIDAE_CETARTIODACTYLA,Aepyceros,BOVIDAE,CETARTIODACTYLA,Aepyceros_melampus,1,0,sampled,52.5001,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-12.464714,-13.31672641,31.55291976,-27.892464,2.963036,11.834788,40.6416
Aepyprymnus_rufescens,Aepyprymnus_rufescens_POTOROIDAE_DIPROTODONTIA,Aepyprymnus,POTOROIDAE,DIPROTODONTIA,Aepyprymnus_rufescens,27,0,sampled,3.25,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),0,-24.2794485,-24.18851841,149.0788284,-32.788133,-15.770764,143.951547,153.639236
Aeretes_melanopterus,Aeretes_melanopterus_SCIURIDAE_RODENTIA,Aeretes,SCIURIDAE,RODENTIA,Aeretes_melanopterus,1,0,sampled,0.7324,FALSE,FS2016,Assumed_isometric_based_on_head-body_length,"Smith_AT,_Xie_Y,_Hoffmann_RS,_Lunde_D,_MacKinnon_J,_Wilson_DE,_Wozencraft_WD._A_Guide_to_the_Mammals_of_China_(2008)",2,35.612257,32.40379506,103.738723,30.782035,40.442479,101.66596,117.799977
Aeromys_tephromelas,Aeromys_tephromelas_SCIURIDAE_RODENTIA,Aeromys,SCIURIDAE,RODENTIA,Aeromys_tephromelas,1,0,sampled,1.075,FALSE,FS2016,Reported,Ecological_Archives_E084-094_(2003),1,3.240985,3.712080451,107.1723896,-1.787966,8.269936,98.0026,117.903414
